PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1808,Russell Westbrook,11700,PG,58.11,35.33,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,59.90,11500,58.11
1811,Stephen Curry,11200,PG,49.14,35.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,41.00,11000,49.14
684,Anthony Davis,10800,PF,38.40,32.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,49.10,10900,38.40
679,James Harden,10300,SG,46.40,39.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,38.70,9900,46.40
1856,Andre Drummond,10100,C,49.71,37.33,DET,2015-11-20,DET,MIN,2015-11-20 200000,36.20,9800,49.71
2550,Blake Griffin,9700,PF,41.28,33.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,36.90,9700,41.28
1812,Carmelo Anthony,9600,SF,43.58,37.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,33.50,9600,43.58
1819,Damian Lillard,9000,PG,36.11,39.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,40.30,9200,36.11
2557,Chris Paul,8900,PG,35.97,33.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,25.40,8900,35.97
1815,Kyle Lowry,8600,PG,43.88,36.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,43.50,8600,43.88
768,Kawhi Leonard,8600,SF,34.52,33.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,35.00,8500,34.52
1814,Eric Bledsoe,8500,SG,33.72,32.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,29.70,8400,33.72
1852,Derrick Favors,8300,PF,34.66,32.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,26.40,8300,34.66
6651,Brook Lopez,8200,C,38.57,35.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,23.40,8000,38.57
688,Dwight Howard,8100,C,35.53,31.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,35.50,8000,35.53
3766,Jimmy Butler,8000,SG,35.44,38.33,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,54.30,7800,35.44
1965,Draymond Green,7900,PF,37.40,36.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,24.30,7900,37.40
2582,Reggie Jackson,7800,PG,31.78,30.67,DET,2015-11-20,DET,MIN,2015-11-20 200000,33.50,7600,31.78
1810,DeMar DeRozan,7800,SG,36.45,36.33,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,24.80,7800,36.45
1848,Pau Gasol,7800,PF,33.11,31.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,35.50,7900,33.11
1807,LaMarcus Aldridge,7700,PF,30.27,32.67,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,38.20,7700,30.27
